option,value
version,4.5.139.9689
DOI,10.5281/zenodo.8076924
date,6/24/2023
new,支持10x基因组原始数据文件导入mzkit用于切片样本成像。
new,支持mzkit中质谱成像样本的旋转，使用MSI操作菜单中的[Rotate Slide]按键即可。
new,增加离子注释表格导入质谱成像预览器，本功能需要包含目标离子'm/z值(m/z)'、'名称(name)'、'分子式(formula)'、'前体类型(precursor_type)'的csv表格文件。
enhancement,在质谱成像渲染中展示physical ruler overlap，你可以通过设置showPhysicalRuler选项关闭这种overlap。
enhancement,在质谱成像渲染中展示总离子质谱成像overlap，你可以通过设置showTotalIonOverlap选项关闭这种overlap。
enhancement,支持在质谱成像数据预览器调整离子极性模式，此选项值将影响mzkit质谱数据查看器中某些离子代谢物注释相关功能。
enhancement,在质谱成像预览器中增加多个质谱成像相关功能包括：分辨率、物理单位毫米、文件类型等。
enhancement,支持在质谱成像预览器的离子选择器中导入自定义的离子列表，数据文件必须是csv或xlsx的表格类型。
enhancement,在质谱成像原始scans数据文件合并时增加微调参数。
fixed,修复R#运行环境中的后端脚本在生成质谱成像热图矩阵时可能出现的bug
enhancement,在生成质谱成像热图矩阵时支持颜色主题的设置，你可以通过质谱成像热图矩阵编辑器的[Settings]列表页调整此参数。
new,在质谱成像预览器旁边增加了颜色范围柱，你可以通过该颜色范围柱手动调整色彩范围的变化敏感程度。这项功能对RGB质谱成像模式不适用。
new,在质谱成像预览器中查看离子m/z分布直方图。你可以在[MSI Analysis] -> [Feature Detections]菜单中找到该选项。
new,添加umap manifold + dbscan聚类用于样本图像的自动分区。
enhancement,UMAP 3D 散点图预览器目前可以在质谱成像预览器中进行交互：您可以通过鼠标单击UMAP 3D 散点图预览器中的点来选择相应的质谱成像像素点。
enhancement,支持在质谱成像预览器中导入UMAP聚类数据集作为样本图像分区的数据源。
enhancement,增加质谱成像的组织分组结果预览时调整散点图中图形点的尺寸大小选项。
update,移除分析靶向代谢组数据需要biodeep登陆的条件
enhancement,改进了靶向代谢组数据查看：可导出靶向线性模型报告的PDF版
enhancement,支持加载来自mzkit的RGB质谱成像渲染结果导出的cdf矩阵文件，默认展示RGB模式质谱渲染图。
update,在质谱成像组织样本区域编辑器中，添加对质谱成像样本图像中未标记像素点进行分组的选项
update,在质谱成像组织样本区域编辑器中添加查看该区域的MS1信息的选项，使用鼠标右键调用此功能。
update,为质谱成像组织样本区域的html颜色代码中添加设置自定义颜色的选项。
update,增加了从质谱成像原始数据文件中加载所有带注释的离子层的功能，你可以通过离子层选择器的鼠标上下文菜单使用这个新功能。
update,增加通过离子层选择器的鼠标上下文菜单批量导出多层质谱成像图像的功能。
new,添加预览mzkit LCMS参考数据库包文件的应用插件，通过[Plugin Manager] -> [Reference Library Viewer]加载此功能。
new,添加使用质谱聚类树数据库的应用插件，通过[Plugin Manager] -> [Molecular Network Viewer Client]加载此功能。
note,本次更新版本适用于帕诺米克空间代谢组
note,祝您端午节平安健康！
